,Race Number,Track Surface,Inner/Outer Track,Racecourse Condition,Prize Pool,No. of Contestants,Track No.,Gender,Age,Weight,Net Weight,Weight Change,Popularity,Odds,Trainer,Grade,Time Residual,Date,Time,Name
29398,4,grass,right,average,115.0,16,11,female/mare,3,54.0,452.0,0.0,4,13.6,千田 輝彦,B,2.299999999999997,2013-08-03,70.8,アギャント
17920,1,dirt,right,average,0.0,16,14,female/mare,3,54.0,454.0,10.0,12,166.8,千田 輝彦,C,-0.7000000000000028,2013-05-05,74.6,アギャント
25965,6,grass,right,average,0.0,15,14,female/mare,3,54.0,452.0,2.0,6,11.7,千田 輝彦,B,-0.8000000000000114,2013-07-07,70.6,アギャント
16391,5,grass,right,average,500.0,15,6,female/mare,3,54.0,460.0,-4.0,4,8.1,西浦 勝一,C,-1.0,2013-04-28,69.8,アクアブルーバレー
13874,2,grass,right,average,75.0,16,7,female/mare,3,54.0,464.0,-12.0,8,39.1,西浦 勝一,B,1.2000000000000028,2013-04-13,70.9,アクアブルーバレー
6180,11,grass,right,average,261.0,14,12,male/stallion,5,57.0,506.0,-4.0,1,2.6,長浜 博之,B,0.09999999999999432,2013-02-16,69.5,アグネスウイッシュ
9825,11,grass,left,average,158.0,18,2,male/stallion,5,57.0,500.0,-6.0,1,4.1,長浜 博之,A,0.0,2013-03-10,69.0,アグネスウイッシュ
14907,11,grass,right,average,696.0,16,16,male/stallion,5,57.0,500.0,0.0,1,4.2,長浜 博之,B,1.1000000000000085,2013-04-14,68.7,アグネスウイッシュ
2828,10,grass,right,average,435.0,15,14,male/stallion,5,57.0,510.0,0.0,1,3.3,長浜 博之,B,3.8999999999999915,2013-01-21,69.3,アグネスウイッシュ
22902,10,grass,right,somewhat heavy,0.0,14,1,male/stallion,5,57.0,500.0,-4.0,4,7.5,長浜 博之,B,0.30000000000001137,2013-06-15,71.0,アグネスウイッシュ
27736,3,dirt,left,average,0.0,16,13,female/mare,3,54.0,494.0,10.0,12,140.9,鮫島 一歩,C,-0.7000000000000028,2013-07-20,73.4,アグネスエリイ
22853,7,grass,right,average,72.0,16,12,male/stallion,3,54.0,488.0,8.0,5,9.5,長浜 博之,B,0.9000000000000057,2013-06-15,69.7,アグネスキズナ
16770,6,grass,right,average,0.0,18,7,male/stallion,3,56.0,482.0,6.0,8,22.2,長浜 博之,C,1.2999999999999972,2013-04-28,69.7,アグネスキズナ
9416,6,grass,right,average,0.0,12,4,male/stallion,3,56.0,476.0,-2.0,5,7.0,長浜 博之,B,-1.0,2013-03-09,70.6,アグネスキズナ
30366,12,grass,right,somewhat heavy,247.5,18,14,male/stallion,3,54.0,494.0,10.0,3,6.8,長浜 博之,B,-2.299999999999997,2013-08-04,68.2,アグネスキズナ
26378,12,grass,left,average,180.0,18,6,male/stallion,3,54.0,484.0,-4.0,2,4.3,長浜 博之,B,2.700000000000003,2013-07-07,69.4,アグネスキズナ
33893,9,grass,right,heavy,990.0,18,2,male/stallion,3,54.0,498.0,4.0,4,6.2,長浜 博之,B,0.0,2013-08-31,68.5,アグネスキズナ
19602,6,grass,right,average,70.0,16,16,male/stallion,3,56.0,480.0,-2.0,4,8.8,長浜 博之,B,-2.200000000000003,2013-05-18,69.4,アグネスキズナ
20117,3,dirt,right,average,0.0,16,11,female/mare,3,54.0,468.0,6.0,7,17.9,長浜 博之,B,-1.5999999999999943,2013-05-19,75.2,アグネスコスモス
35680,2,dirt,right,somewhat heavy,0.0,16,16,female/mare,3,51.0,484.0,6.0,11,210.2,長浜 博之,B,0.09999999999999432,2013-09-15,72.6,アグネスコスモス
7914,12,grass,right,average,128.0,18,11,male/stallion,4,54.0,462.0,4.0,9,20.5,河内 洋,B,-1.3999999999999915,2013-02-24,68.1,アグネスハビット
12414,12,grass,right,average,396.0,14,13,male/stallion,4,57.0,454.0,-6.0,5,13.1,河内 洋,B,-2.1999999999999886,2013-03-30,68.8,アグネスハビット
20570,9,grass,right,average,0.0,16,6,male/stallion,4,57.0,466.0,2.0,3,6.5,河内 洋,B,0.20000000000000284,2013-05-25,69.1,アグネスハビット
16210,5,grass,right,average,500.0,18,18,female/mare,3,54.0,472.0,2.0,1,4.8,河内 洋,C,-1.2000000000000028,2013-04-27,69.4,アグネスフィズ
196,1,dirt,right,somewhat heavy,0.0,16,7,female/mare,3,54.0,470.0,0.0,2,4.8,河内 洋,B,0.09999999999999432,2013-01-05,74.3,アグネスフィズ
19604,6,grass,right,average,0.0,16,12,female/mare,3,54.0,466.0,-6.0,1,4.3,河内 洋,B,-2.5,2013-05-18,69.5,アグネスフィズ
27679,11,grass,right,average,0.0,16,1,male/stallion,4,55.0,476.0,-8.0,9,18.3,長浜 博之,B,-1.0999999999999943,2013-07-20,69.9,アグネスマチュア
8430,12,grass,right,average,352.0,18,2,male/stallion,4,57.0,484.0,-2.0,2,5.2,長浜 博之,B,1.7999999999999972,2013-03-02,68.7,アグネスマチュア
24398,9,grass,right,average,0.0,16,11,male/stallion,4,55.0,484.0,0.0,4,7.7,長浜 博之,B,1.6000000000000085,2013-06-23,69.9,アグネスマチュア
21303,9,grass,right,average,990.0,16,7,male/stallion,4,57.0,484.0,4.0,1,2.9,長浜 博之,B,0.9000000000000057,2013-06-01,69.0,アグネスマチュア
18233,12,grass,left,somewhat heavy,352.0,16,15,male/stallion,4,57.0,480.0,0.0,2,5.1,長浜 博之,B,0.30000000000001137,2013-05-11,69.3,アグネスマチュア
10810,7,grass,left,average,67.0,18,16,male/stallion,4,55.0,484.0,0.0,1,2.4,長浜 博之,B,-1.8000000000000114,2013-03-17,69.8,アグネスマチュア
14036,12,grass,right,average,0.0,16,8,male/stallion,4,57.0,476.0,-8.0,1,3.7,長浜 博之,B,2.0,2013-04-13,69.9,アグネスマチュア
23999,3,grass,right,average,0.0,16,7,female/mare,3,54.0,422.0,6.0,6,22.3,新開 幸一,C,0.0,2013-06-23,71.4,アグランディール
6242,3,grass,right,average,0.0,18,6,female/mare,3,52.0,414.0,6.0,16,72.2,新開 幸一,C,0.0,2013-02-16,69.8,アグランディール
14417,2,grass,right,average,0.0,16,4,female/mare,3,54.0,416.0,2.0,3,8.9,新開 幸一,C,0.7999999999999972,2013-04-14,71.4,アグランディール
12940,11,grass,right,average,0.0,16,2,male/stallion,4,55.0,538.0,0.0,3,7.9,友道 康夫,B,0.29999999999999716,2013-04-06,69.4,アグン
13599,7,dirt,right,heavy,0.0,16,2,female/mare,4,55.0,442.0,-14.0,10,113.2,戸田 博文,B,-0.6000000000000085,2013-04-07,74.5,アサクサウタヒメ
7028,7,dirt,right,average,0.0,16,10,female/mare,4,55.0,456.0,20.0,14,280.0,戸田 博文,C,-1.5,2013-02-23,76.8,アサクサウタヒメ
3720,1,dirt,right,average,0.0,15,7,female/mare,3,54.0,468.0,-2.0,2,6.8,大橋 勇樹,B,2.0,2013-01-27,75.0,アサケゴマ
22785,1,grass,right,average,50.0,6,1,male/stallion,2,54.0,408.0,-6.0,6,31.2,大橋 勇樹,C,-0.5999999999999943,2013-06-15,70.9,アサケマツカゼ
13369,4,grass,right,heavy,0.0,16,8,female/mare,3,54.0,422.0,-8.0,12,56.6,佐藤 吉勝,C,-0.5,2013-04-07,72.8,アシタハテンキ
28966,9,grass,right,average,0.0,13,11,male/stallion,3,54.0,474.0,-6.0,13,40.4,山内 研二,C,0.09999999999999432,2013-07-28,71.9,アジャストメント
22564,9,grass,right,somewhat heavy,0.0,16,12,male/stallion,3,54.0,476.0,-6.0,9,28.6,山内 研二,C,-1.2000000000000028,2013-06-15,69.4,アジャストメント
25429,1,grass,right,somewhat heavy,125.0,6,3,female/mare,2,54.0,454.0,2.0,4,14.5,本間 忍,C,2.9000000000000057,2013-07-06,72.0,アスカクイン
33454,2,grass,right,somewhat heavy,0.0,16,3,female/mare,2,54.0,456.0,-2.0,10,70.6,本間 忍,C,-0.29999999999999716,2013-08-31,76.9,アスカクイン
29697,1,grass,right,average,0.0,18,11,female/mare,2,54.0,436.0,2.0,13,141.6,崎山 博樹,C,0.3999999999999915,2013-08-03,71.9,アスカタキオン
34992,1,dirt,right,bad,0.0,15,12,female/mare,2,51.0,432.0,-4.0,14,380.6,崎山 博樹,D,-0.20000000000000284,2013-09-08,73.7,アスカタキオン
34363,4,grass,right,heavy,69.0,18,1,female/mare,3,51.0,448.0,12.0,15,255.5,中尾 秀正,B,0.20000000000000284,2013-09-01,70.0,アスカリンカーン
35685,2,dirt,right,somewhat heavy,0.0,16,4,female/mare,3,51.0,442.0,-6.0,7,36.4,中尾 秀正,B,-0.5999999999999943,2013-09-15,74.2,アスカリンカーン
9531,2,dirt,right,average,0.0,16,12,male/stallion,3,56.0,438.0,0.0,8,33.6,柴田 政人,B,2.9000000000000057,2013-03-10,75.9,アスキットキング
25682,9,grass,right,average,0.0,16,10,male/stallion,3,54.0,420.0,-10.0,15,183.0,柴田 政人,C,1.5999999999999943,2013-07-06,69.6,アスキットキング
728,1,dirt,right,average,0.0,16,5,male/stallion,3,56.0,438.0,2.0,6,8.8,柴田 政人,C,1.2999999999999972,2013-01-12,74.7,アスキットキング
12987,3,dirt,right,somewhat heavy,500.0,16,8,male/stallion,3,56.0,428.0,-10.0,9,36.9,柴田 政人,C,-1.5,2013-04-06,73.2,アスキットキング
24920,12,dirt,left,average,0.0,16,12,male/stallion,4,57.0,460.0,-6.0,3,7.2,作田 誠二,B,0.20000000000000284,2013-06-29,72.6,アスコットシチー
16995,8,grass,right,average,0.0,16,2,male/stallion,5,57.0,444.0,-8.0,7,20.7,加藤 敬二,C,1.0999999999999943,2013-04-29,69.9,アスターウィング
13412,7,grass,right,heavy,0.0,16,1,male/stallion,5,57.0,452.0,0.0,12,44.8,加藤 敬二,B,-0.09999999999999432,2013-04-07,71.4,アスターウィング
2400,2,dirt,left,average,75.0,16,13,male/stallion,3,56.0,476.0,8.0,3,7.0,加藤 敬二,C,0.10000000000000853,2013-01-20,73.9,アスターキング
13752,5,dirt,right,heavy,0.0,16,16,male/stallion,3,56.0,464.0,-4.0,12,36.0,加藤 敬二,B,0.5999999999999943,2013-04-07,74.4,アスターキング
9691,2,dirt,left,average,500.0,16,3,male/stallion,3,56.0,468.0,-6.0,3,5.9,加藤 敬二,C,-1.2000000000000028,2013-03-10,73.0,アスターキング
28202,1,dirt,left,average,50.0,16,4,male/stallion,2,54.0,466.0,-8.0,9,77.6,武田 博,B,-1.9000000000000057,2013-07-21,74.4,アスタークレバー
24922,12,dirt,left,average,0.0,16,13,male/stallion,4,57.0,526.0,2.0,11,61.1,加藤 敬二,D,0.0,2013-06-29,72.8,アスターサンダー
8634,2,dirt,right,heavy,75.0,16,2,male/stallion,3,56.0,478.0,-8.0,7,22.0,武田 博,B,-0.29999999999999716,2013-03-03,73.1,アスターストーム
15640,1,dirt,right,somewhat heavy,75.0,16,3,male/stallion,3,56.0,470.0,-8.0,5,15.9,武田 博,D,8.300000000000011,2013-04-21,72.7,アスターストーム
30376,12,grass,right,somewhat heavy,0.0,18,11,female/mare,7,55.0,446.0,-2.0,18,315.3,加藤 敬二,D,-1.7000000000000028,2013-08-04,68.8,アスターローズ
5279,8,grass,right,average,0.0,15,6,female/mare,7,52.0,448.0,-2.0,15,202.3,加藤 敬二,C,-2.6000000000000085,2013-02-09,68.8,アスターローズ
31831,10,grass,right,average,0.0,18,7,female/mare,7,55.0,448.0,2.0,17,376.0,加藤 敬二,C,2.700000000000003,2013-08-17,68.1,アスターローズ
30151,10,grass,left,average,576.0,17,15,female/mare,3,52.0,464.0,4.0,14,69.8,佐藤 賢二,C,0.0,2013-08-04,68.3,アステールネオ
35620,10,grass,right,heavy,0.0,16,5,female/mare,3,53.0,466.0,2.0,4,7.9,佐藤 賢二,B,1.7999999999999972,2013-09-15,69.7,アステールネオ
2773,6,grass,right,average,70.0,16,13,female/mare,3,54.0,466.0,4.0,12,86.6,佐藤 賢二,B,-0.6999999999999886,2013-01-21,69.5,アステールネオ
16449,8,grass,right,average,0.0,16,11,male/stallion,4,57.0,440.0,-10.0,10,38.3,高市 圭二,C,-1.5999999999999943,2013-04-28,71.3,アストライオス
25683,9,grass,right,average,0.0,16,5,male/stallion,4,57.0,442.0,2.0,14,163.2,高市 圭二,B,0.7999999999999972,2013-07-06,69.7,アストライオス
34655,12,grass,right,average,0.0,16,14,male/stallion,4,54.0,446.0,4.0,14,96.0,高市 圭二,B,0.4000000000000057,2013-09-07,69.5,アストライオス
24693,8,grass,right,average,0.0,16,8,male/stallion,4,57.0,474.0,0.0,7,24.7,武市 康男,C,-1.5,2013-06-29,69.8,アズマスターフィー
13492,12,grass,right,bad,0.0,16,15,male/stallion,4,57.0,476.0,0.0,13,38.9,武市 康男,C,1.0,2013-04-07,72.1,アズマスターフィー
15963,12,grass,right,average,220.0,15,6,male/stallion,4,57.0,474.0,-2.0,11,63.5,武市 康男,C,-0.7000000000000028,2013-04-27,69.4,アズマスターフィー
14666,6,dirt,right,average,0.0,16,9,male/stallion,5,57.0,504.0,0.0,12,48.0,二ノ宮 敬宇,C,2.200000000000003,2013-04-14,75.1,アタッキングゾーン
27500,11,grass,right,average,696.0,15,12,male/stallion,3,54.0,492.0,4.0,1,2.7,領家 政蔵,B,1.7999999999999972,2013-07-20,68.4,アットウィル
24561,11,grass,right,average,696.0,14,2,male/stallion,3,53.0,488.0,6.0,2,5.3,領家 政蔵,C,-2.3000000000000114,2013-06-29,68.3,アットウィル
7098,1,dirt,right,average,0.0,16,13,female/mare,3,54.0,444.0,-6.0,11,119.2,安田 隆行,C,2.200000000000003,2013-02-23,74.7,アッピアス
11464,6,dirt,right,average,0.0,16,15,male/stallion,3,56.0,518.0,0.0,13,72.7,矢作 芳人,C,-0.4000000000000057,2013-03-23,73.0,アップアンカー
23446,12,dirt,right,heavy,0.0,16,2,male/stallion,3,54.0,512.0,-4.0,9,22.8,矢作 芳人,B,-3.299999999999997,2013-06-16,71.6,アップアンカー
3224,2,dirt,right,somewhat heavy,500.0,14,11,male/stallion,3,56.0,520.0,0.0,8,28.1,矢作 芳人,B,0.7999999999999972,2013-01-26,74.2,アップアンカー
5312,10,grass,right,average,0.0,16,10,male/stallion,3,56.0,518.0,-2.0,7,20.9,矢作 芳人,B,0.10000000000000853,2013-02-09,69.8,アップアンカー
523,11,dirt,right,average,0.0,16,8,male/stallion,7,56.0,506.0,8.0,11,40.7,武藤 善則,C,0.29999999999999716,2013-01-06,71.8,アドバンスウェイ
32199,11,dirt,left,average,0.0,14,6,male/stallion,7,57.0,506.0,12.0,6,8.8,武藤 善則,B,0.0,2013-08-18,71.0,アドバンスウェイ
31383,12,grass,right,average,0.0,18,11,female/mare,5,55.0,484.0,12.0,8,50.9,梅田 智之,C,-0.5,2013-08-11,68.8,アドマイヤアロング
27875,12,grass,left,average,0.0,18,12,female/mare,5,55.0,472.0,-6.0,10,36.9,梅田 智之,B,-1.5999999999999943,2013-07-20,69.7,アドマイヤアロング
26386,12,grass,left,average,0.0,18,18,male/stallion,5,57.0,450.0,-4.0,4,7.3,松田 博資,B,1.0,2013-07-07,70.3,アドマイヤクーガー
6372,12,grass,right,average,352.0,17,5,male/stallion,5,57.0,462.0,4.0,10,19.5,松田 博資,B,-1.1000000000000085,2013-02-16,68.9,アドマイヤクーガー
